source,cycle,CCCT,CVCT,CCAV,SOH
B05_discharge_soh,37,3194.5,9.36,3.5692555970614035,0.894221617
B05_discharge_soh,38,3184.765,9.36,3.5668074181173024,0.891461524
B05_discharge_soh,39,3166.922,9.359,3.565833000353982,0.886516858
B05_discharge_soh,40,3166.157,9.406,3.563344783179941,0.886518878
B05_discharge_soh,41,3157.203,9.422,3.566492933778107,0.883936056
B05_discharge_soh,42,3147.407,9.422,3.566346764703264,0.881157535
B05_discharge_soh,43,3152.468,16.734,3.5644729044058816,0.883808646
B05_discharge_soh,44,3148.187,9.328,3.5631175855074178,0.88133418
B05_discharge_soh,45,3128.875,9.328,3.560169150083582,0.875865244
B05_discharge_soh,46,3110.719,9.39,3.5598824705405403,0.870924803
B05_discharge_soh,47,3100.719,9.391,3.5577513094457838,0.868045676
B05_discharge_soh,48,3203.672,9.484,3.569672004501458,0.896812008
B05_discharge_soh,49,3185.11,9.391,3.5722450523577707,0.891594511
B05_discharge_soh,50,3156.906,9.391,3.5674729664467457,0.883682104
B05_discharge_soh,51,3138.515,9.422,3.563224939491072,0.878508893
B05_discharge_soh,52,3120.203,9.391,3.5614070009640724,0.873435309
B05_discharge_soh,53,3110.859,9.359,3.5591912120030034,0.870858626
B05_discharge_soh,54,3101.265,9.39,3.559467724656627,0.868211253
B05_discharge_soh,55,3083.141,9.36,3.5572343070818175,0.863160862
B05_discharge_soh,56,3064.453,9.39,3.5563543254695125,0.85790327
B05_discharge_soh,57,3054.75,9.36,3.5542506751039755,0.855266676
B05_discharge_soh,58,3046.172,9.359,3.5537353305797548,0.85300725
B05_discharge_soh,59,3036.39,9.39,3.554390289144615,0.850155514
B05_discharge_soh,60,3026.328,9.375,3.5513567778734565,0.84728993
B05_discharge_soh,61,3008.89,9.437,3.5509140350869566,0.842451455
B05_discharge_soh,62,2990.156,9.36,3.549857617140625,0.83723708
B05_discharge_soh,63,2990.391,9.391,3.5476810471875,0.837284624
B05_discharge_soh,64,2971.641,9.391,3.5475061055943398,0.831858188
B05_discharge_soh,65,2962.625,9.36,3.548799964649842,0.829506935
B05_discharge_soh,66,2953.359,9.422,3.5436757717468352,0.826927029
B05_discharge_soh,67,2933.625,9.438,3.5433112663280255,0.821326891
B05_discharge_soh,68,2924.828,9.406,3.540682721974441,0.818928922
B05_discharge_soh,69,2915.5,9.453,3.540276265612179,0.816367521
B05_discharge_soh,70,2906.86,9.391,3.5383639655852086,0.813876446
B05_discharge_soh,71,2896.594,9.391,3.535905362303226,0.811062743
B05_discharge_soh,72,2877.281,9.36,3.5370582528636363,0.80566283
B05_discharge_soh,73,2868.688,9.359,3.534387623925081,0.80328157
B05_discharge_soh,74,2859.75,9.437,3.531857109575163,0.800757112
B05_discharge_soh,75,2840.11,9.391,3.5324795554375,0.795184616
B05_discharge_soh,76,2831.235,9.39,3.5296329566468647,0.792894499
B05_discharge_soh,77,2830.344,9.36,3.5262954588184816,0.792471536
B05_discharge_soh,78,2849.172,9.407,3.5328856389704923,0.797763195
B05_discharge_soh,79,2812.484,9.36,3.526819017541528,0.787365088
B05_discharge_soh,80,2794.047,9.391,3.523253672856187,0.782450998
B05_discharge_soh,81,2784.765,9.359,3.5220647312751683,0.779882974
B05_discharge_soh,82,2783.844,9.391,3.5217694266040267,0.779740784
B05_discharge_soh,83,2775.5,9.36,3.5227602821582487,0.777344677
B05_discharge_soh,84,2765.203,9.391,3.519391177466216,0.774437054
B05_discharge_soh,85,2746.594,9.328,3.5180563387925172,0.7691183
B05_discharge_soh,86,2728.172,9.375,3.515308069410959,0.763957129
B05_discharge_soh,87,2728.578,9.39,3.5138860460136985,0.764262632
B05_discharge_soh,88,2718.719,9.375,3.517234527154639,0.761323663
B05_discharge_soh,89,2709.422,9.359,3.5163646021586206,0.758742997
B05_discharge_soh,90,2867.015,9.422,3.5306759225309445,0.80290945
B05_discharge_soh,91,2791.875,9.375,3.5271617034180602,0.781924573
B05_discharge_soh,92,2764.125,9.406,3.5234875150574325,0.774045763
B05_discharge_soh,93,2736.109,9.422,3.5227657601262794,0.766187782
B05_discharge_soh,94,2726.484,9.375,3.5167178932636984,0.763476414
B05_discharge_soh,95,2708.547,9.359,3.516274897468966,0.758478651
B05_discharge_soh,96,2699.297,9.406,3.5140402597024223,0.755948798
B05_discharge_soh,97,2689.438,9.312,3.5129673461180553,0.753281948
B05_discharge_soh,98,2680.875,9.406,3.5108395740940774,0.750772677
B05_discharge_soh,99,2661.563,9.391,3.511932721912281,0.745422203
B05_discharge_soh,100,2652.765,9.421,3.510779436922535,0.742934193
B05_discharge_soh,101,2643.297,9.359,3.5089790283604243,0.740206839
B05_discharge_soh,102,2633.438,9.391,3.507645444602837,0.737604794
B05_discharge_soh,103,2652.579,9.391,3.504977378059859,0.7429518
B05_discharge_soh,104,2670.813,9.375,3.5146455295279724,0.748045915
B05_discharge_soh,105,2643.39,9.391,3.5085572759575974,0.740400298
B05_discharge_soh,106,2623.813,9.391,3.507226763188612,0.734877164
B05_discharge_soh,107,2595.75,9.39,3.5015919524820145,0.726950614
B05_discharge_soh,108,2595.375,9.329,3.5027806813992806,0.727073104
B05_discharge_soh,109,2596.953,9.391,3.501522084953238,0.727511876
B05_discharge_soh,110,2586.875,9.438,3.5008642385018054,0.724521082
B05_discharge_soh,111,2568.203,9.375,3.5000747210254546,0.719335469
B05_discharge_soh,112,2558.328,9.359,3.497917715430657,0.716722716
B05_discharge_soh,113,2558.391,9.391,3.4965044953102193,0.716697945
B05_discharge_soh,114,2549.047,9.406,3.4982454333479853,0.714032437
B05_discharge_soh,115,2540.079,9.469,3.4964567022279414,0.711460159
B05_discharge_soh,116,2530.547,9.375,3.4931614730479703,0.708714517
B05_discharge_soh,117,2521.172,9.391,3.490393713196296,0.706204615
B05_discharge_soh,118,2521.234,9.36,3.4900513197851852,0.706289397
B05_discharge_soh,119,2512.141,9.343,3.493610891509294,0.703799187
B05_discharge_soh,120,2558.375,9.438,3.4967934671715324,0.716696025
B05_discharge_soh,121,2567.516,9.406,3.501822975687273,0.719127509
B05_discharge_soh,122,2530.078,9.391,3.4966594593800737,0.708677359
B05_discharge_soh,123,2511.828,9.375,3.4927278576914498,0.703490832
B05_discharge_soh,124,2501.438,9.391,3.489505377205224,0.700601889
B05_discharge_soh,125,2493.156,9.359,3.4874252878539322,0.698350412
B05_discharge_soh,126,2483.593,9.453,3.4859655607142854,0.695642395
B05_discharge_soh,127,2474.656,9.438,3.483878029633962,0.693114384
B05_discharge_soh,128,2464.344,9.422,3.4820747852348486,0.690218338
B05_discharge_soh,129,2455.047,9.453,3.4817907745285175,0.687618208
B05_discharge_soh,130,2446.484,9.375,3.478686412015267,0.685256401
B05_discharge_soh,131,2446.516,9.406,3.4773708807671757,0.685254279
B05_discharge_soh,132,2436.375,9.422,3.476347864360153,0.682367756
B05_discharge_soh,133,2455.484,9.391,3.482636552714829,0.687696009
B05_discharge_soh,134,2474.453,9.5,3.4897144091169814,0.693055758
B05_discharge_soh,135,2445.422,9.469,3.4844941207442743,0.684925002
B05_discharge_soh,136,2436.406,9.375,3.477668062310345,0.682391398
B05_discharge_soh,137,2417.719,9.344,3.4773193309498067,0.677161024
B05_discharge_soh,138,2418.219,9.359,3.4776031853938223,0.677320851
B05_discharge_soh,139,2418.36,9.359,3.476366611208494,0.677351961
B05_discharge_soh,140,2408.797,9.422,3.4738948569457366,0.674657499
B05_discharge_soh,141,2399.515,9.515,3.4699290605447475,0.672094597
B05_discharge_soh,142,2390.031,9.375,3.4679683288046874,0.66949569
B05_discharge_soh,143,2389.766,9.406,3.4694733811406246,0.669457262
B05_discharge_soh,144,2381.312,9.391,3.4705301382901963,0.667003338
B05_discharge_soh,145,2371.906,9.375,3.4664766469645665,0.664322216
B05_discharge_soh,146,2361.953,9.375,3.464147438272727,0.66158545
B05_discharge_soh,147,2352.829,9.343,3.463964981202381,0.65908458
B05_discharge_soh,148,2353.047,9.359,3.465994678845238,0.659233222
B05_discharge_soh,149,2352.907,9.406,3.4635994282500002,0.65914652
B05_discharge_soh,150,2362.782,9.437,3.461340733810277,0.661936211
B05_discharge_soh,151,2427.782,9.359,3.4770229184653845,0.680060839
B05_discharge_soh,152,2390.844,9.375,3.47281146071875,0.669765344
B05_discharge_soh,153,2372.219,9.344,3.470379509905512,0.664514329
B05_discharge_soh,154,2362.796,9.36,3.4680525705652174,0.661837064
B05_discharge_soh,155,2353.781,9.343,3.4652973199563495,0.659316949
B05_discharge_soh,156,2344.375,9.391,3.464480792633466,0.656737566
B05_discharge_soh,157,2344.016,9.375,3.462359740920319,0.656601032
B05_discharge_soh,158,2334.282,9.36,3.461357354576,0.653897998
B05_discharge_soh,159,2325.516,9.359,3.4611858220923697,0.65151646
B05_discharge_soh,160,2326.219,9.438,3.4594816556144576,0.651678678
B05_discharge_soh,161,2326.391,9.391,3.457528579421687,0.651705022
B05_discharge_soh,162,2316.609,9.344,3.4586969398185485,0.648943541
B05_discharge_soh,163,2316.625,9.343,3.4555271412177415,0.649036753
B05_discharge_soh,164,2308.094,9.343,3.4568211311457495,0.646731807
B05_discharge_soh,165,2298.547,9.359,3.4574028262276424,0.644001697
B05_discharge_soh,166,2297.469,9.313,3.4560683531463408,0.643726261
B05_discharge_soh,167,2336.015,9.375,3.466683897596,0.654507682
B05_discharge_soh,168,2364.438,9.328,3.4730162372332014,0.662539665
